step   first_run   mean_reward_runs   std_reward_runs   percentage_opt_action
337 0.63921 0.857547 0.217128 0.1075
338 1 0.857592 0.219799 0.1125
339 0.847072 0.851032 0.225099 0.1125
340 0.864315 0.856736 0.221665 0.127
341 0.596881 0.846009 0.224572 0.115
342 0.721641 0.853361 0.222993 0.1075
343 0.853969 0.841903 0.23291 0.109
344 0.0146794 0.855154 0.21845 0.107
345 1 0.850374 0.227649 0.119
346 1 0.855551 0.22118 0.12
347 0.617145 0.84485 0.22989 0.105
348 1 0.859098 0.221106 0.114
349 1 0.864069 0.216248 0.121
350 1 0.853194 0.222543 0.1145
351 1 0.854174 0.223471 0.121
352 1 0.848829 0.223214 0.114
353 1 0.849472 0.223677 0.108
354 0.367565 0.850699 0.2305 0.1115
355 0.661 0.846107 0.230204 0.109
356 0.802393 0.853368 0.221418 0.1115
357 1 0.851241 0.223861 0.1175
358 1 0.854718 0.220905 0.117
359 0.611103 0.84831 0.224814 0.1105
360 1 0.85248 0.222254 0.119
361 0.900601 0.848073 0.230891 0.119
362 1 0.85257 0.22174 0.119
363 0.630177 0.852762 0.219946 0.115
364 1 0.85553 0.222815 0.13
365 1 0.846042 0.225968 0.1165
366 1 0.846316 0.229108 0.1025
367 0.85519 0.855009 0.221203 0.103
368 0.0661641 0.851724 0.223365 0.12
369 1 0.855514 0.224074 0.129
370 1 0.851575 0.223247 0.126
371 1 0.850751 0.224366 0.113
372 0.548051 0.853887 0.222514 0.1095
373 1 0.858309 0.219026 0.1245
374 1 0.856812 0.224813 0.1285
375 1 0.854387 0.22632 0.1195
376 0.808039 0.85177 0.22141 0.1135
377 1 0.85547 0.219389 0.1185
378 1 0.848703 0.223014 0.1155
379 0.78811 0.855037 0.225312 0.1205
380 0.89523 0.848292 0.227543 0.1225
381 0.789636 0.853374 0.223241 0.114
382 1 0.844872 0.22746 0.107
383 1 0.854851 0.22114 0.108
384 1 0.856853 0.221153 0.125
385 0.856655 0.861171 0.215431 0.131
386 1 0.856915 0.217211 0.109
387 0.863582 0.8673 0.210071 0.123
388 1 0.843278 0.224824 0.114
389 1 0.856657 0.219172 0.115
390 1 0.857517 0.216823 0.121
391 0.984832 0.847447 0.230702 0.1175
392 1 0.854268 0.221085 0.113
393 1 0.853185 0.226658 0.113
394 0.524674 0.85047 0.225587 0.12
395 1 0.858408 0.220025 0.1175
396 1 0.858636 0.214142 0.1185
397 1 0.85002 0.223704 0.117
398 0.891537 0.851884 0.225134 0.108
399 1 0.85423 0.217714 0.1215
400 1 0.862064 0.214021 0.1175
401 1 0.858202 0.216833 0.128
402 0.931639 0.854589 0.223512 0.115
403 1 0.848435 0.224173 0.1005
404 1 0.847529 0.229664 0.116
405 1 0.85693 0.217275 0.111
406 1 0.857698 0.221273 0.1135
407 0.914701 0.849999 0.224485 0.1175
408 1 0.854907 0.224446 0.116
409 1 0.856364 0.217036 0.1205
410 0.946165 0.858396 0.215652 0.1055
411 0.837184 0.855249 0.222085 0.115
412 0.534227 0.860992 0.218672 0.1115
413 0.842097 0.854275 0.223096 0.111
414 0.693533 0.856323 0.212875 0.1165
415 1 0.856948 0.224662 0.126
416 1 0.853143 0.223575 0.1135
417 1 0.846694 0.229181 0.1045
418 0.52559 0.851204 0.221926 0.1165
419 0.954802 0.84697 0.219737 0.1115
420 0.398694 0.855096 0.220652 0.1195
421 0.241096 0.849472 0.224395 0.116
422 0.585559 0.855565 0.217808 0.1175
423 1 0.850846 0.226307 0.1125
424 1 0.855331 0.219733 0.127
425 0.94528 0.859974 0.214275 0.111
426 1 0.855684 0.217928 0.1205
427 0.890225 0.856088 0.22544 0.1185
428 1 0.857663 0.219336 0.1165
429 0.940977 0.852918 0.222874 0.1165
430 0.60155 0.847189 0.230518 0.1075
431 0.786157 0.85499 0.218392 0.114
432 0.576678 0.85138 0.22025 0.109
433 0.14243 0.855991 0.21828 0.115
434 0.222327 0.855546 0.222865 0.124
435 1 0.859568 0.215148 0.124
436 1 0.852164 0.22231 0.117
437 1 0.855718 0.219785 0.123
438 1 0.85625 0.222433 0.122
439 0.659932 0.849586 0.227249 0.111
440 0.855098 0.854942 0.223342 0.1175
441 1 0.853099 0.221889 0.1185
442 0.81106 0.861099 0.216813 0.112
443 0.662069 0.854853 0.220223 0.1215
444 0.691488 0.857886 0.220865 0.122
445 0.802698 0.863677 0.211029 0.1225
446 0.530137 0.852894 0.220515 0.109
447 0.685629 0.852738 0.222926 0.123
448 1 0.855598 0.220197 0.105
449 1 0.84878 0.221729 0.1175
450 0.727897 0.858565 0.218203 0.1115
451 0.777734 0.859735 0.217425 0.1265
452 1 0.849178 0.2236 0.114
453 0.868679 0.856099 0.218314 0.114
454 1 0.86052 0.221241 0.117
455 0.706565 0.860955 0.219293 0.117
456 1 0.854628 0.220847 0.1045
457 1 0.850423 0.224694 0.109
458 0.947905 0.847042 0.228833 0.111
459 1 0.857193 0.217045 0.1235
460 0.274972 0.850615 0.225105 0.1275
461 1 0.850104 0.225134 0.129
462 0.98178 0.850707 0.221607 0.111
463 1 0.846425 0.227223 0.1225
464 1 0.855427 0.221316 0.113
465 0.922483 0.85246 0.219929 0.115
466 1 0.850089 0.21886 0.1035
467 0.69454 0.86403 0.217437 0.119
468 1 0.85883 0.215332 0.123
469 1 0.851155 0.224354 0.1125
470 1 0.86105 0.218704 0.1285
471 0.521439 0.851515 0.222248 0.1115
472 0.90228 0.854055 0.222386 0.13
473 0.106418 0.848318 0.227788 0.1105
474 0.902646 0.847606 0.232559 0.122
475 1 0.850549 0.221285 0.1115
476 1 0.855815 0.218391 0.1135
477 1 0.861578 0.214692 0.123
478 1 0.852121 0.225818 0.1215
479 0.974395 0.853317 0.220888 0.115
480 1 0.858079 0.218603 0.117
481 0.870388 0.854469 0.22293 0.114
482 1 0.849943 0.229622 0.125
483 1 0.85152 0.222534 0.1115
484 0.00375378 0.849503 0.223529 0.119
485 0.750633 0.851175 0.226989 0.119
486 0.114048 0.847491 0.225528 0.113
487 1 0.852501 0.227318 0.1085
488 1 0.852689 0.221313 0.12
489 0.992615 0.851107 0.225701 0.121
490 1 0.850131 0.222312 0.1115
491 1 0.850058 0.219479 0.126
492 1 0.854898 0.220095 0.1225
493 1 0.852632 0.220859 0.1125
